step,stage,loss,dprime_intra,dprime_inter,n_pass_blocks,advanced,regressed,alpha,lambda_ctx
10400,4,0.148494,4.4659,0.1482,0,0,0,0.0000,0.0
10450,4,0.158819,4.5575,0.0810,0,0,0,0.0000,0.0
10500,4,0.080671,4.6527,0.0148,0,0,0,0.0000,0.0
10550,4,0.150718,4.5644,-0.0144,0,0,0,0.0000,0.0
10600,4,0.140164,4.5343,0.2102,0,0,0,0.0000,0.0
10650,4,0.167976,4.2113,0.2919,0,0,0,0.0000,0.0
10700,4,0.132444,4.5639,0.2214,0,0,0,0.0000,0.0
10750,4,0.130045,4.4174,0.0571,0,0,0,0.0000,0.0
10800,4,0.152518,4.1888,0.3406,0,0,0,0.0000,0.0
10850,4,0.186553,4.1388,0.1721,0,0,0,0.0000,0.0
10900,4,0.128197,4.4038,0.1125,0,0,0,0.0000,0.0
10950,4,0.148262,4.3931,0.2918,0,0,0,0.0000,0.0
11000,4,0.135014,4.5761,0.0768,0,0,0,0.0000,0.0
11050,4,0.154526,4.2220,0.0013,0,0,0,0.0000,0.0
11100,4,0.127634,4.5431,0.1661,0,0,0,0.0000,0.0
11150,4,0.116674,4.5307,0.1840,0,0,0,0.0000,0.0
11200,4,0.157975,4.4333,0.2543,0,0,0,0.0000,0.0
11250,4,0.119908,4.5955,0.0396,0,0,0,0.0000,0.0
11300,4,0.143388,4.3676,-0.0234,0,0,0,0.0000,0.0
11350,4,0.152239,4.2101,-0.0306,0,0,0,0.0000,0.0
11400,4,0.132251,4.3297,-0.1747,0,0,0,0.0000,0.0
11450,4,0.107281,4.5192,0.0672,0,0,0,0.0000,0.0
11500,4,0.121974,4.5352,-0.0093,0,0,0,0.0000,0.0
11550,4,0.117289,4.4506,0.0970,0,0,0,0.0000,0.0
11600,4,0.134632,4.1515,0.0551,0,0,0,0.0000,0.0
11650,4,0.154644,4.5637,0.0770,0,0,0,0.0000,0.0
11700,4,0.154707,4.4338,-0.0335,0,0,0,0.0000,0.0
11750,4,0.106566,4.6527,0.0458,0,0,0,0.0000,0.0
11800,4,0.131823,4.1167,0.0877,0,0,0,0.0000,0.0
11850,4,0.115187,4.5175,0.0770,0,0,0,0.0000,0.0
11900,4,0.159065,4.2614,0.0023,0,0,0,0.0000,0.0
11950,4,0.102267,4.5332,-0.0170,0,0,0,0.0000,0.0
12000,4,0.150662,4.0750,0.0425,0,0,0,0.0000,0.0
12050,4,0.117708,4.2479,0.2326,0,0,0,0.0000,0.0
12100,4,0.114266,4.6206,0.1264,0,0,0,0.0000,0.0
12150,4,0.115118,4.4694,-0.0328,0,0,0,0.0000,0.0
12200,4,0.110807,4.5749,0.1160,0,0,0,0.0000,0.0
12250,4,0.100270,4.5496,-0.0025,0,0,0,0.0000,0.0
12300,4,0.120921,4.5505,0.0917,0,0,0,0.0000,0.0
12350,4,0.108617,4.5961,0.0139,0,0,0,0.0000,0.0
12400,4,0.103791,4.6236,0.1245,0,0,0,0.0000,0.0
12450,4,0.122270,4.5783,-0.0161,0,0,0,0.0000,0.0
12500,4,0.117349,4.3790,-0.0632,0,0,0,0.0000,0.0
12550,4,0.113217,4.5712,0.0481,0,0,0,0.0000,0.0
12600,4,0.065034,4.6527,0.0000,0,0,0,0.0000,0.0
12650,4,0.087292,4.5061,-0.0542,0,0,0,0.0000,0.0
12700,4,0.073983,4.6390,-0.0137,0,0,0,0.0000,0.0
12750,4,0.083235,4.6527,0.0315,0,0,0,0.0000,0.0
12800,4,0.099949,4.5781,0.0839,0,0,0,0.0000,0.0
12850,4,0.094219,4.5523,0.0355,0,0,0,0.0000,0.0
12900,4,0.112374,4.4498,0.1206,0,0,0,0.0000,0.0
12950,4,0.083922,4.6218,-0.0309,0,0,0,0.0000,0.0
13000,4,0.101885,4.5943,0.0181,0,0,0,0.0000,0.0
13050,4,0.129149,4.2523,-0.0913,0,0,0,0.0000,0.0
13100,4,0.063967,4.6527,0.0137,0,0,0,0.0000,0.0
13150,4,0.126416,4.5231,0.2887,0,0,0,0.0000,0.0
13200,4,0.069715,4.6373,0.0449,0,0,0,0.0000,0.0
13250,4,0.124515,4.4476,0.1655,0,0,0,0.0000,0.0
13300,4,0.065158,4.6097,-0.0150,0,0,0,0.0000,0.0
13350,4,0.072036,4.6527,0.0000,0,0,0,0.0000,0.0
13400,4,0.074602,4.6527,0.0446,0,0,0,0.0000,0.0
13450,4,0.133221,4.5670,-0.0118,0,0,0,0.0000,0.0
13500,4,0.092468,4.5806,0.0326,0,0,0,0.0000,0.0
13550,4,0.093205,4.6081,0.0029,0,0,0,0.0000,0.0
13600,4,0.071572,4.5139,-0.1102,0,0,0,0.0000,0.0
13650,4,0.069668,4.6527,0.0148,0,0,0,0.0000,0.0
13700,4,0.102137,4.5168,0.1219,0,0,0,0.0000,0.0
13750,4,0.100450,4.5299,-0.0518,0,0,0,0.0000,0.0
13800,4,0.133736,4.4137,0.1404,0,0,0,0.0000,0.0
13850,4,0.104144,4.3602,0.1944,0,0,0,0.0000,0.0
13900,4,0.118696,4.5874,0.0808,0,0,0,0.0000,0.0
13950,4,0.106967,4.5073,0.0229,0,0,0,0.0000,0.0
14000,4,0.096061,4.3781,0.0966,0,0,0,0.0000,0.0
14050,4,0.131832,4.4905,0.0297,0,0,0,0.0000,0.0
14100,4,0.116218,4.5956,0.1106,0,0,0,0.0000,0.0
14150,4,0.096322,4.5594,0.0558,0,0,0,0.0000,0.0
14200,4,0.049267,4.6527,0.0148,0,0,0,0.0000,0.0
14250,4,0.094142,4.5627,-0.0585,0,0,0,0.0000,0.0
14300,4,0.103913,4.6064,0.0236,0,0,0,0.0000,0.0
14350,4,0.102250,4.5621,0.0012,0,0,0,0.0000,0.0
14400,4,0.083086,4.6224,0.0602,0,0,0,0.0000,0.0
14450,4,0.090669,4.4983,0.1134,0,0,0,0.0000,0.0
14500,4,0.106963,4.4389,0.2652,0,0,0,0.0000,0.0
14550,4,0.069586,4.6070,-0.0012,0,0,0,0.0000,0.0
14600,4,0.092111,4.5805,0.0001,0,0,0,0.0000,0.0
14650,4,0.072113,4.6527,0.0924,0,0,0,0.0000,0.0
14700,4,0.104721,4.5495,0.0306,0,0,0,0.0000,0.0
14750,4,0.094177,4.4266,-0.0140,0,0,0,0.0000,0.0
14800,4,0.076695,4.6379,-0.0017,0,0,0,0.0000,0.0
14850,4,0.090998,4.5606,0.0838,0,0,0,0.0000,0.0
14900,4,0.106269,4.5467,0.0147,0,0,0,0.0000,0.0
14950,4,0.081597,4.6081,0.0127,0,0,0,0.0000,0.0
15000,4,0.079463,4.6052,0.0086,0,0,0,0.0000,0.0
15050,4,0.088770,4.6396,0.0274,0,0,0,0.0000,0.0
15100,4,0.093697,4.6241,0.0490,0,0,0,0.0000,0.0
15150,4,0.079704,4.5776,-0.0145,0,0,0,0.0000,0.0
15200,4,0.076270,4.5648,0.0041,0,0,0,0.0000,0.0
15250,4,0.107731,4.5522,0.0057,0,0,0,0.0000,0.0
15300,4,0.087245,4.5845,0.0217,0,0,0,0.0000,0.0
15350,4,0.071143,4.6218,-0.0018,0,0,0,0.0000,0.0
15400,4,0.087061,4.5641,0.0181,0,0,0,0.0000,0.0
15450,4,0.081213,4.6087,0.1097,0,0,0,0.0000,0.0
15500,4,0.078237,4.5590,-0.0179,0,0,0,0.0000,0.0
15550,4,0.072144,4.6224,-0.0023,0,0,0,0.0000,0.0
15600,4,0.081774,4.6235,0.0458,0,0,0,0.0000,0.0
15650,4,0.085299,4.5486,0.0099,0,0,0,0.0000,0.0
15700,4,0.106935,4.5164,0.0307,0,0,0,0.0000,0.0
15750,4,0.083043,4.5772,0.0047,0,0,0,0.0000,0.0
15800,4,0.100071,4.5627,0.0890,0,0,0,0.0000,0.0
15850,4,0.076049,4.6527,0.0606,0,0,0,0.0000,0.0
15900,4,0.069428,4.6087,-0.0280,0,0,0,0.0000,0.0
15950,4,0.106827,4.4459,0.0537,0,0,0,0.0000,0.0
16000,4,0.094135,4.6087,0.0510,0,0,0,0.0000,0.0
16050,4,0.071837,4.6224,0.0464,0,0,0,0.0000,0.0
16100,4,0.051480,4.6367,0.0000,0,0,0,0.0000,0.0
16150,4,0.072895,4.6247,0.0172,0,0,0,0.0000,0.0
16200,4,0.079765,4.6016,-0.0076,0,0,0,0.0000,0.0
16250,4,0.077481,4.6230,0.0440,0,0,0,0.0000,0.0
16300,4,0.064166,4.6396,0.0006,0,0,0,0.0000,0.0
16350,4,0.091995,4.5498,-0.0154,0,0,0,0.0000,0.0
16400,4,0.074387,4.6218,0.0277,0,0,0,0.0000,0.0
16450,4,0.074950,4.6361,0.0445,0,0,0,0.0000,0.0
16500,4,0.082725,4.6099,0.0638,0,0,0,0.0000,0.0
16550,4,0.069452,4.5363,-0.0239,0,0,0,0.0000,0.0
16600,4,0.063548,4.6116,0.0059,0,0,0,0.0000,0.0
16650,4,0.073037,4.5737,-0.0094,0,0,0,0.0000,0.0
16700,4,0.072628,4.6379,0.0006,0,0,0,0.0000,0.0
16750,4,0.075757,4.6206,0.0552,0,0,0,0.0000,0.0
16800,4,0.039426,4.6527,0.0000,0,0,0,0.0000,0.0
16850,4,0.075433,4.6247,-0.0131,0,0,0,0.0000,0.0
16900,4,0.085235,4.5761,-0.0480,0,0,0,0.0000,0.0
16950,4,0.077761,4.5480,-0.0038,0,0,0,0.0000,0.0
17000,4,0.076037,4.6229,-0.0298,0,0,0,0.0000,0.0
17050,4,0.088353,4.5910,0.0698,0,0,0,0.0000,0.0
17100,4,0.075932,4.6527,0.0608,0,0,0,0.0000,0.0
17150,4,0.066529,4.6086,0.0554,0,0,0,0.0000,0.0
17200,4,0.096016,4.5942,0.0494,0,0,0,0.0000,0.0
17250,4,0.062676,4.6527,0.0000,0,0,0,0.0000,0.0
17300,4,0.072980,4.5637,0.0392,0,0,0,0.0000,0.0
17350,4,0.074365,4.5772,0.0148,0,0,0,0.0000,0.0
17400,4,0.066803,4.6379,0.0115,0,0,0,0.0000,0.0
17450,4,0.077029,4.5816,-0.0236,0,0,0,0.0000,0.0
17500,4,0.074374,4.5462,0.0256,0,0,0,0.0000,0.0
17550,4,0.063380,4.5267,-0.0808,0,0,0,0.0000,0.0
17600,4,0.072768,4.5765,-0.0602,0,0,0,0.0000,0.0
17650,4,0.072371,4.6212,0.0000,0,0,0,0.0000,0.0
17700,4,0.058058,4.6527,0.0327,0,0,0,0.0000,0.0
17750,4,0.060733,4.6379,0.0425,0,0,0,0.0000,0.0
17800,4,0.052957,4.6527,0.0185,0,0,0,0.0000,0.0
17850,4,0.058786,4.6218,0.0505,0,0,0,0.0000,0.0
17900,4,0.069420,4.5828,-0.0408,0,0,0,0.0000,0.0
17950,4,0.080086,4.5743,-0.0451,0,0,0,0.0000,0.0
18000,4,0.049092,4.6396,-0.0131,0,0,0,0.0000,0.0
18050,4,0.084731,4.4918,0.0384,0,0,0,0.0000,0.0
18100,4,0.067588,4.6218,0.0102,0,0,0,0.0000,0.0
18150,4,0.095830,4.5498,0.0731,0,0,0,0.0000,0.0
18200,4,0.037160,4.6527,0.0000,0,0,0,0.0000,0.0
18250,4,0.053384,4.6527,0.0451,0,0,0,0.0000,0.0
18300,4,0.071760,4.6077,0.0282,0,0,0,0.0000,0.0
18350,4,0.070514,4.5936,-0.0154,0,0,0,0.0000,0.0
18400,4,0.100029,4.4852,-0.0926,0,0,0,0.0000,0.0
18450,4,0.075461,4.4413,0.0446,0,0,0,0.0000,0.0
18500,4,0.088914,4.6063,0.0166,0,0,0,0.0000,0.0
18550,4,0.070440,4.6057,-0.0036,0,0,0,0.0000,0.0
18600,4,0.068709,4.6218,-0.0309,0,0,0,0.0000,0.0
18650,4,0.063410,4.6070,-0.0297,0,0,0,0.0000,0.0
18700,4,0.068647,4.5890,0.1617,0,0,0,0.0000,0.0
18750,4,0.075454,4.6224,-0.0160,0,0,0,0.0000,0.0
18800,4,0.096817,4.5304,-0.0794,0,0,0,0.0000,0.0
18850,4,0.080448,4.5491,0.0163,0,0,0,0.0000,0.0
18900,4,0.045846,4.6218,0.0006,0,0,0,0.0000,0.0
18950,4,0.064970,4.6110,-0.0417,0,0,0,0.0000,0.0
19000,4,0.080969,4.5927,-0.0017,0,0,0,0.0000,0.0
19050,4,0.072181,4.6235,0.0337,0,0,0,0.0000,0.0
19100,4,0.053647,4.6367,-0.0006,0,0,0,0.0000,0.0
19150,4,0.091230,4.5195,0.0404,0,0,0,0.0000,0.0
19200,4,0.072968,4.6527,0.1327,0,0,0,0.0000,0.0
19250,4,0.064663,4.6217,0.0125,0,0,0,0.0000,0.0
19300,4,0.057077,4.5955,-0.0275,0,0,0,0.0000,0.0
19350,4,0.052383,4.6384,-0.0143,0,0,0,0.0000,0.0
19400,4,0.051827,4.6390,0.0143,0,0,0,0.0000,0.0
19450,4,0.049401,4.6527,0.0286,0,0,0,0.0000,0.0
19500,4,0.065592,4.6384,0.0185,0,0,0,0.0000,0.0
19550,4,0.063242,4.6057,0.0078,0,0,0,0.0000,0.0
19600,4,0.055992,4.6224,-0.0303,0,0,0,0.0000,0.0
19650,4,0.090215,4.5767,0.1178,0,0,0,0.0000,0.0
19700,4,0.061846,4.5513,-0.0871,0,0,0,0.0000,0.0
19750,4,0.063916,4.6149,0.0673,0,0,0,0.0000,0.0
19800,4,0.096689,4.4254,0.0674,0,0,0,0.0000,0.0
19850,4,0.070059,4.6527,0.0423,0,0,0,0.0000,0.0
19900,4,0.057443,4.5928,-0.0171,0,0,0,0.0000,0.0
19950,4,0.045691,4.6379,0.0018,0,0,0,0.0000,0.0
20000,4,0.062771,4.6384,0.0143,0,0,0,0.0000,0.0
20050,4,0.048828,4.6379,-0.0011,0,0,0,0.0000,0.0
20100,4,0.072330,4.5187,-0.0170,0,0,0,0.0000,0.0
20150,4,0.068095,4.6034,-0.0202,0,0,0,0.0000,0.0
20200,4,0.062897,4.6212,0.0820,0,0,0,0.0000,0.0
20250,4,0.052274,4.6527,0.0121,0,0,0,0.0000,0.0
20300,4,0.063673,4.5867,0.0554,0,0,0,0.0000,0.0
